city,area,street,street_number,address,rooms,kvm,price,day_of_month_sold,month_sold_swedish,year_sold,asking_price,avgift,type,floor,running_costs,year_built,hoa,agent_name,agency
Stockholms,Vällingby,Funäsgatan,6,Funäsgatan 6,2,45,2150000,15,juli,2019,2150000,2270,LägenhetLägenhet,NA,NA,2019,NA, Rawaz Abdullah , Svensk Fastighetsförmedling VällingbyHässelbySpånga 
Stockholms,Vällingby,Funäsgatan,8,Funäsgatan 8,1,33,1840000,15,juli,2019,1840000,1790,LägenhetLägenhet,NA,NA,2019,NA, Rawaz Abdullah , Svensk Fastighetsförmedling VällingbyHässelbySpånga 
Stockholms,Bromma,Bällstavägen,242,Bällstavägen 242 A,2,59,2470000,15,juli,2019,2450000,3571,LägenhetLägenhet,NA,NA,NA,NA, Info , Hemverket AB 
Stockholms,Vällingby,Vittangigatan,41,Vittangigatan 41,1,32,1900000,15,juli,2019,1695000,2118,LägenhetLägenhet,NA,2500,1953,BRF Fyrfärgspennan 1, Fredrik Jakobsson , Svenska Mäklarhuset Vällingby 
Solna,Huvudsta,Storgatan,29,Storgatan 29B,1,42,2425000,13,juli,2019,2150000,2453,LägenhetLägenhet,NA,3800,1948,NA, Fredrik Flodin , Alicia Edelman Fastighetsmäkleri 
Stockholms,Vällingby,Östersundsgatan,6,Östersundsgatan 6 Vån 3,2,46,2280000,12,juli,2019,1995000,2434,LägenhetLägenhet,3,3800,2017,Brf Råckringen, Jimmy Solkarin , Fastighetsbyrån Vällingby 
Sundbybergs,Ursvik,Ursviksvägen,113,Ursviksvägen 113,1,24,1650000,12,juli,2019,1350000,1878,LägenhetLägenhet,NA,4104,1939,NA, Alexander Wall , Svensk Fastighetsförmedling Sundbyberg 
Nacka,Västra,Ornövägen,24,Ornövägen 24,3,81,2200000,12,juli,2019,1995000,4737,LägenhetLägenhet,NA,6048,NA,NA, Maxine Mazy , Svensk Fastighetsförmedling Nacka 
Stockholms,Kungsholmen,Sankt Göransgatan,153,Sankt Göransgatan 153 3tr,1,22.5,2350000,12,juli,2019,2350000,1550,LägenhetLägenhet,3,2000,1949,NA, Cecilia Heikkilä , BOSTHLM Fastighetsmäklare AB 
Stockholms,Bromma,Gubbkärrsvägen,29,Gubbkärrsvägen 29Q 1tr,1,43,2500000,11,juli,2019,1950000,2843,LägenhetLägenhet,1,NA,1950,NA, Noomi Unéus , Svenska Mäklarhuset Bromma 
Stockholms,Årsta,Sköntorpsvägen,111,Sköntorpsvägen 111 3tr,1.5,32,2425000,11,juli,2019,2150000,2226,LägenhetLägenhet,3,7740,NA,NA, Johan Nilsson , Bjurfors HammarbySkarpnäck Farsta 
Sundbybergs,Sundbyberg,Ursviksvägen,113,Ursviksvägen 113,2,56,2320000,11,juli,2019,2295000,3722,LägenhetLägenhet,NA,NA,1939,Brf Hallonet 1, Linda Rosén , Notar 
