"city","area","street","street_number","address","rooms","kvm","price","day_of_month_sold","month_sold_swedish","year_sold","asking_price","avgift","type","floor","running_costs","year_built","hoa","agent_name","agency"
"Sundbybergs","ursvik","other",41,"ursviksallé41",2,39,2300000,2,"juli",2019,2300000,2538,"apartment",4,4300,2015,"brftehusetiursvik","other","länsförsäkringarfastighetsförmedlingsolna"
"Sundbybergs","rissne","other",11,"other",2,43,2150000,2,"juli",2019,1595000,2044,"apartment",3,5562,1982,"other","other","notar"
"Stockholms","stockholms","other",10,"other",2,55,2350000,1,"juli",2019,2175000,4145,"apartment",4,4379,1945,"other","other","svenskfastighetsförmedlingårsta"
"Sundbybergs","ör","other",6,"other",2,67,2350000,1,"juli",2019,2295000,2549,"apartment",2,5400,1965,"other","other","länsförsäkringarfastighetsförmedlingsolna"
"Nacka","jarlaberg","other",16,"other",2,63,2413000,30,"juni",2019,2495000,4325,"apartment",3,7000,1989,"other","other","erikolssonfastighetsförmedling"
"Nacka","västra","skarpövägen",17,"other",3,81,2200000,29,"juni",2019,1995000,4281,"apartment",2,2870,1971,"brfskarpövägen","danieleriksson","fastighetsbyrånnacka"
"Solna","hagalund","olofafacrelsväg",3,"other",1,26,2245000,28,"juni",2019,1995000,1979,"apartment",3,1740,1959,"brfhaga437","other","svenskfastighetsförmedlingsolna"
"Sundbybergs","sundbyberg","other",21,"other",1,46,2100000,28,"juni",2019,1995000,2875,"apartment",3,3300,2017,"other","victoraghester","svenskamäklarhusetsundbyberg"
"Nacka","orminge","skarpövägen",39,"other",2,61,2120000,28,"juni",2019,1850000,4350,"apartment",3,4500,1970,"brfskarpöhöjden","other","other"
"Solna","järva","fridensborgsvägen",121,"other",2,41,2200000,28,"juni",2019,2200000,2658,"apartment",3,3480,2019,"other","other","erikolssonfastighetsförmedling"
"Nacka","jarlaberg","other",36,"other",2,63,2450000,27,"juni",2019,2175000,4059,"apartment",3,5300,1989,"other","other","fastighetsbyrånnacka"
"Nacka","nacka","other",629,"other",1.5,44,1895000,27,"juni",2019,1895000,2533,"apartment",4,9382,2016,"other","other","fastighetsbyrånnacka"
"Stockholms","vällingby","other",63,"other",2,71,2015000,27,"juni",2019,1595000,3618,"apartment",2,4800,1983,"brfullvide","other","fastighetsbyrånvällingby"
"Stockholms","bromma","other",9,"other",2,46,2430000,27,"juni",2019,1995000,2728,"apartment",3,5544,1946,"other","juliahast","notar"
"Stockholms","bromma","other",6,"other",2,46,2210000,27,"juni",2019,1695000,2641,"apartment",3,3600,1946,"other","juliahast","notar"
"Nacka","finntorp","other",35,"other",1,38.5,2210000,27,"juni",2019,1895000,2361,"apartment",3,2760,1962,"other","other","other"
"Nacka","jarlaberg","other",2,"other",2,63,2380000,26,"juni",2019,1995000,4059,"apartment",3,5434,1989,"other","other","husmanhagbergnacka"
"Stockholms","traneberg","other",17,"other",2,49.5,2330000,26,"juni",2019,2095000,3988,"apartment",3,4500,1934,"other","ericaholmberg","fastighetsbyrånbromma"
"Solna","solna","råsundavägen",134,"råsundavägen134",1,28,2280000,26,"juni",2019,1695000,2236,"apartment",3,4728,1951,"other","other","notar"
"Stockholms","vasastan","other",35,"other",1,20.5,2350000,26,"juni",2019,1900000,1437,"apartment",1,4084,1924,"other","other","other"
"Nacka","västra","ornövägen",32,"other",3,81,2250000,25,"juni",2019,2195000,4787,"apartment",2,8128,1970,"brfsockerbiten","other","fastighetsbyrånnacka"
"Stockholms","stockholms","sköntorpsvägen",115,"other",1,31,2400000,25,"juni",2019,2400000,2157,"apartment",6,4054,1963,"brfnärdingen1","other","svenskfastighetsförmedlingårsta"
"Solna","västra","other",58,"other",2,49,2500000,25,"juni",2019,2195000,2320,"apartment",3,5940,1973,"other","other","svenskfastighetsförmedlingsolna"
"Stockholms","stockholms","other",16,"other",2,34,1750000,25,"juni",2019,995000,3111,"apartment",3,3480,1940,"other","other","erikolssonfastighetsförmedling"
"Nacka","saltsjöbaden","other",2,"other",1,32,1600000,25,"juni",2019,1500000,2121,"apartment",3,6156,1963,"other","other","other"
"Stockholms","stockholms","björketorpsvägen",13,"björketorpsvägen13",1,28,1850000,25,"juni",2019,1695000,1850,"apartment",3,4560,1967,"brflångskeppet","other","erikolssonfastighetsförmedling"
"Stockholms","hässelby","other",116,"other",1,27.8,1450000,24,"juni",2019,1450000,1560,"apartment",1,3000,2019,"other","jimmysolkarin","fastighetsbyrånhässelby"
"Solna","järva","other",28,"other",1,36,2470000,24,"juni",2019,2495000,2010,"apartment",1,5800,2019,"other","other","other"
